Equipos,Partidos_jugados,Partidos_ganados,Partidos_empatados,Partidos_perdidos,Goles_a_favor,Goles_en_contra,Diferencia,Puntos
Belgrano (Córdoba),3,2,1,0,3,1,+2,7
Huracán,2,2,0,0,7,4,+3,6
Lanús,2,2,0,0,4,2,+2,6
Godoy Cruz Antonio Tomba,2,2,0,0,2,0,+2,6
Instituto (Córdoba),2,1,1,0,2,0,+2,4
Platense,2,1,1,0,4,3,+1,4
Tigre,2,1,1,0,4,3,+1,4
Newell's Old Boys,2,1,1,0,3,2,+1,4
Rosario Central,2,1,1,0,3,2,+1,4
Boca Juniors,2,1,1,0,1,0,+1,4
Sarmiento (Junín),3,1,1,1,5,5,0,4
Barracas Central,2,1,0,1,5,4,+1,3
River Plate,2,1,0,1,3,2,+1,3
Vélez Sarsfield,2,1,0,1,3,2,+1,3
Talleres (Córdoba),2,1,0,1,2,1,+1,3
Defensa y Justicia,2,1,0,1,4,4,0,3
Independiente,2,1,0,1,2,2,0,3
San Lorenzo,2,1,0,1,2,2,0,3
Argentinos Juniors,2,1,0,1,1,1,0,3
Banfield,2,0,1,1,2,3,-1,1
Estudiantes de La Plata,2,0,1,1,2,3,-1,1
Arsenal Sarandi,2,0,1,1,1,2,-1,1
Racing Club,2,0,1,1,0,1,-1,1
Unión (Santa Fe),2,0,1,1,0,2,-2,1
Central Córdoba (Santiago del Estero),3,0,1,2,0,3,-3,1
Atlético Tucumán,2,0,0,2,0,3,-3,0
Colón (Santa Fe),3,0,0,3,1,5,-4,0
Gimnasia La Plata,2,0,0,2,1,5,-4,0
